county_code,county_name,year,count
230102.0,道里区,2010,7
230102.0,道里区,2011,25
230102.0,道里区,2012,0
230102.0,道里区,2013,7
230102.0,道里区,2014,60
230102.0,道里区,2015,35
230102.0,道里区,2016,23
230102.0,道里区,2017,32
230102.0,道里区,2018,4
230102.0,道里区,2019,1
230103.0,南岗区,2010,6
230103.0,南岗区,2011,12
230103.0,南岗区,2012,4
230103.0,南岗区,2013,3
230103.0,南岗区,2014,15
230103.0,南岗区,2015,17
230103.0,南岗区,2016,6
230103.0,南岗区,2017,1
230103.0,南岗区,2018,2
230103.0,南岗区,2019,3
230104.0,道外区,2010,1
230104.0,道外区,2011,8
230104.0,道外区,2012,13
230104.0,道外区,2013,5
230104.0,道外区,2014,20
230104.0,道外区,2015,48
230104.0,道外区,2016,15
230104.0,道外区,2017,41
230104.0,道外区,2018,3
230104.0,道外区,2019,1
230108.0,平房区,2010,3
230108.0,平房区,2011,2
230108.0,平房区,2012,1
230108.0,平房区,2013,3
230108.0,平房区,2014,11
230108.0,平房区,2015,4
230108.0,平房区,2016,1
230108.0,平房区,2017,3
230108.0,平房区,2018,0
230108.0,平房区,2019,1
230109.0,松北区,2010,22
230109.0,松北区,2011,60
230109.0,松北区,2012,10
230109.0,松北区,2013,9
230109.0,松北区,2014,68
230109.0,松北区,2015,56
230109.0,松北区,2016,13
230109.0,松北区,2017,25
230109.0,松北区,2018,1
230109.0,松北区,2019,1
230110.0,香坊区,2010,5
230110.0,香坊区,2011,6
230110.0,香坊区,2012,2
230110.0,香坊区,2013,6
230110.0,香坊区,2014,12
230110.0,香坊区,2015,27
230110.0,香坊区,2016,8
230110.0,香坊区,2017,7
230110.0,香坊区,2018,1
230110.0,香坊区,2019,3
230111.0,呼兰区,2010,52
230111.0,呼兰区,2011,221
230111.0,呼兰区,2012,25
230111.0,呼兰区,2013,120
230111.0,呼兰区,2014,300
230111.0,呼兰区,2015,324
230111.0,呼兰区,2016,73
230111.0,呼兰区,2017,198
230111.0,呼兰区,2018,0
230111.0,呼兰区,2019,1
230112.0,阿城区,2010,7
230112.0,阿城区,2011,34
230112.0,阿城区,2012,3
230112.0,阿城区,2013,5
230112.0,阿城区,2014,76
230112.0,阿城区,2015,58
230112.0,阿城区,2016,5
230112.0,阿城区,2017,43
230112.0,阿城区,2018,2
230112.0,阿城区,2019,0
230113.0,双城区,2010,224
230113.0,双城区,2011,249
230113.0,双城区,2012,18
230113.0,双城区,2013,91
230113.0,双城区,2014,538
230113.0,双城区,2015,383
230113.0,双城区,2016,44
230113.0,双城区,2017,344
230113.0,双城区,2018,5
230113.0,双城区,2019,10
230123.0,依兰县,2010,10
230123.0,依兰县,2011,337
230123.0,依兰县,2012,1
230123.0,依兰县,2013,83
230123.0,依兰县,2014,311
230123.0,依兰县,2015,305
230123.0,依兰县,2016,100
230123.0,依兰县,2017,130
230123.0,依兰县,2018,1
230123.0,依兰县,2019,0
230124.0,方正县,2010,1
230124.0,方正县,2011,12
230124.0,方正县,2012,0
230124.0,方正县,2013,1
230124.0,方正县,2014,5
230124.0,方正县,2015,3
230124.0,方正县,2016,2
230124.0,方正县,2017,13
230124.0,方正县,2018,0
230124.0,方正县,2019,1
230125.0,宾县,2010,9
230125.0,宾县,2011,55
230125.0,宾县,2012,5
230125.0,宾县,2013,29
230125.0,宾县,2014,147
230125.0,宾县,2015,176
230125.0,宾县,2016,94
230125.0,宾县,2017,110
230125.0,宾县,2018,2
230125.0,宾县,2019,2
230126.0,巴彦县,2010,9
230126.0,巴彦县,2011,72
230126.0,巴彦县,2012,30
230126.0,巴彦县,2013,47
230126.0,巴彦县,2014,144
230126.0,巴彦县,2015,127
230126.0,巴彦县,2016,118
230126.0,巴彦县,2017,267
230126.0,巴彦县,2018,6
230126.0,巴彦县,2019,0
230127.0,木兰县,2010,6
230127.0,木兰县,2011,31
230127.0,木兰县,2012,0
230127.0,木兰县,2013,5
230127.0,木兰县,2014,24
230127.0,木兰县,2015,41
230127.0,木兰县,2016,43
230127.0,木兰县,2017,75
230127.0,木兰县,2018,2
230127.0,木兰县,2019,1
230128.0,通河县,2010,18
230128.0,通河县,2011,46
230128.0,通河县,2012,0
230128.0,通河县,2013,5
230128.0,通河县,2014,22
230128.0,通河县,2015,15
230128.0,通河县,2016,5
230128.0,通河县,2017,6
230128.0,通河县,2018,0
230128.0,通河县,2019,0
230129.0,延寿县,2010,0
230129.0,延寿县,2011,29
230129.0,延寿县,2012,0
230129.0,延寿县,2013,0
230129.0,延寿县,2014,1
230129.0,延寿县,2015,4
230129.0,延寿县,2016,11
230129.0,延寿县,2017,67
230129.0,延寿县,2018,0
230129.0,延寿县,2019,2
230183.0,尚志市,2010,0
230183.0,尚志市,2011,52
230183.0,尚志市,2012,3
230183.0,尚志市,2013,1
230183.0,尚志市,2014,0
230183.0,尚志市,2015,0
230183.0,尚志市,2016,4
230183.0,尚志市,2017,34
230183.0,尚志市,2018,7
230183.0,尚志市,2019,7
230184.0,五常市,2010,1
230184.0,五常市,2011,100
230184.0,五常市,2012,0
230184.0,五常市,2013,4
230184.0,五常市,2014,32
230184.0,五常市,2015,3
230184.0,五常市,2016,19
230184.0,五常市,2017,160
230184.0,五常市,2018,13
230184.0,五常市,2019,1
230202.0,龙沙区,2010,0
230202.0,龙沙区,2011,0
230202.0,龙沙区,2012,0
230202.0,龙沙区,2013,0
230202.0,龙沙区,2014,0
230202.0,龙沙区,2015,0
230202.0,龙沙区,2016,0
230202.0,龙沙区,2017,1
230202.0,龙沙区,2018,0
230202.0,龙沙区,2019,0
230204.0,铁锋区,2010,0
230204.0,铁锋区,2011,0
230204.0,铁锋区,2012,0
230204.0,铁锋区,2013,0
230204.0,铁锋区,2014,0
230204.0,铁锋区,2015,2
230204.0,铁锋区,2016,0
230204.0,铁锋区,2017,3
230204.0,铁锋区,2018,0
230204.0,铁锋区,2019,0
230205.0,昂昂溪区,2010,0
230205.0,昂昂溪区,2011,3
230205.0,昂昂溪区,2012,0
230205.0,昂昂溪区,2013,0
230205.0,昂昂溪区,2014,3
230205.0,昂昂溪区,2015,15
230205.0,昂昂溪区,2016,3
230205.0,昂昂溪区,2017,9
230205.0,昂昂溪区,2018,2
230205.0,昂昂溪区,2019,0
230206.0,富拉尔基区,2010,10
230206.0,富拉尔基区,2011,13
230206.0,富拉尔基区,2012,1
230206.0,富拉尔基区,2013,3
230206.0,富拉尔基区,2014,12
230206.0,富拉尔基区,2015,14
230206.0,富拉尔基区,2016,20
230206.0,富拉尔基区,2017,5
230206.0,富拉尔基区,2018,1
230206.0,富拉尔基区,2019,1
230207.0,碾子山区,2010,0
230207.0,碾子山区,2011,0
230207.0,碾子山区,2012,0
230207.0,碾子山区,2013,1
230207.0,碾子山区,2014,1
230207.0,碾子山区,2015,0
230207.0,碾子山区,2016,0
230207.0,碾子山区,2017,0
230207.0,碾子山区,2018,0
230207.0,碾子山区,2019,0
230208.0,梅里斯达斡尔族区,2010,56
230208.0,梅里斯达斡尔族区,2011,131
230208.0,梅里斯达斡尔族区,2012,12
230208.0,梅里斯达斡尔族区,2013,51
230208.0,梅里斯达斡尔族区,2014,133
230208.0,梅里斯达斡尔族区,2015,121
230208.0,梅里斯达斡尔族区,2016,150
230208.0,梅里斯达斡尔族区,2017,147
230208.0,梅里斯达斡尔族区,2018,2
230208.0,梅里斯达斡尔族区,2019,0
230221.0,龙江县,2010,120
230221.0,龙江县,2011,206
230221.0,龙江县,2012,38
230221.0,龙江县,2013,70
230221.0,龙江县,2014,246
230221.0,龙江县,2015,319
230221.0,龙江县,2016,225
230221.0,龙江县,2017,172
230221.0,龙江县,2018,10
